expected_distance_m_num,expected_subpose_norm,expected_position_norm,windows,segments,person_instances,old_display_posture_accuracy,raw_probability_posture_accuracy,standing_accuracy,sitting_accuracy,false_sitting_on_standing,false_sitting_on_standing_3m,false_standing_on_sitting,upright_sitting_accuracy,lean_back_sitting_accuracy,lean_forward_sitting_accuracy,disappearance_rate,ui_visible_rate,NO_POINTS_rate,LOW_POINTS_rate,geom_pts_mean,range_error_mean,people_count_mean
1.0,STANDING,LEFT,374,2,2,0.8342245989304813,0.7406417112299465,0.8342245989304813,0.0,0.10427807486631016,0.0,0.0,0.0,0.0,0.0,0.02220318290108423,0.9854337780822856,0.6420535645763549,0.77617693270383,5.043150870462256,0.43610143989097055,1.411764705882353
1.0,STANDING,RIGHT,470,2,2,0.8978723404255319,0.8553191489361702,0.8978723404255319,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.019686311861958412,0.9896665810383616,0.7636975866884949,0.9650493097538948,0.9620141074401738,0.4689960824057036,1.5319148936170213
2.0,SITTING_LEAN_BACK,CENTER,1313,2,6,0.5011424219345011,0.4242193450114242,0.0,0.5011424219345011,0.0,0.0,0.4105102817974105,0.0,0.5011424219345011,0.0,0.008760034645912695,0.9137074615387463,0.8011564965230167,0.9356529115971176,1.09282004501042,0.08765172713782507,1.0
2.0,SITTING_LEAN_BACK,LEFT,481,2,2,0.7214137214137214,0.7920997920997921,0.0,0.7214137214137214,0.0,0.0,0.2577962577962578,0.0,0.7214137214137214,0.0,0.009332713955758038,1.0,0.8057625343925693,0.932595116588009,1.5924288919044232,0.29599190010825804,1.5197505197505197
2.0,SITTING_LEAN_BACK,RIGHT,481,2,2,0.9293139293139293,1.0,0.0,0.9293139293139293,0.0,0.0,0.04573804573804574,0.0,0.9293139293139293,0.0,0.011622154748596049,1.0,0.8485642963042138,0.9461831095444172,0.6958515540921324,0.3211020322161885,1.5197505197505197
2.0,SITTING_LEAN_FORWARD,CENTER,186,1,2,0.41397849462365593,0.553763440860215,0.0,0.41397849462365593,0.0,0.0,0.42473118279569894,0.0,0.0,0.41397849462365593,0.04795233842467721,0.9452499574740661,0.7514363020342748,0.8471682408751862,2.452941472346863,0.6646770735801583,1.0
2.0,SITTING_LEAN_FORWARD,LEFT,222,1,1,0.8153153153153153,0.8738738738738738,0.0,0.8153153153153153,0.0,0.0,0.12162162162162163,0.0,0.0,0.8153153153153153,0.008674796180723145,1.0,0.8322229232794596,0.9309895220906853,0.8292797308967504,0.4231431056697882,2.0
2.0,SITTING_LEAN_FORWARD,RIGHT,222,1,1,0.9684684684684685,0.8468468468468469,0.0,0.9684684684684685,0.0,0.0,0.0,0.0,0.0,0.9684684684684685,0.008674796180723145,1.0,0.8647632670873404,0.9555179455222689,0.5580895900876098,0.30773482887351766,2.0
2.0,SITTING_UPRIGHT,CENTER,477,1,2,0.8490566037735849,0.6645702306079665,0.0,0.8490566037735849,0.0,0.0,0.129979035639413,0.8490566037735849,0.0,0.0,0.008504133429654767,1.0,0.8336478465289209,0.9390209228934557,0.7275638879827858,0.26090919229467663,1.0
2.0,SITTING_UPRIGHT,LEFT,222,1,1,0.14864864864864866,0.25225225225225223,0.0,0.14864864864864866,0.0,0.0,0.8018018018018018,0.14864864864864866,0.0,0.0,0.013617497051589019,1.0,0.7886493783708578,0.9242239131111749,0.988716500582406,0.8934487524271367,2.0
